size,connectivity,num_steps,trial,mutation_rate,attractors
20,2,50,0,0.01,"[['1     1 1 11  1   1 ', '1  1  1 1  1      1 ', '1  111     11     1 ', '1    11   11  1   1 ']]"
20,2,50,1,0.01,[['    1 1   1 1111 1  ']]
20,2,50,2,0.01,"[['  1111  111    111 1', '11 1 1  1  1111 1   ']]"
20,2,50,3,0.01,"[['  111    1111 1 11 1', '11111 111111 11 1  1', '1  1   11 1 1 1111 1']]"
20,2,50,4,0.01,[['  11 11 1 11    1  1']]
20,2,50,0,0.03,[['   1111   1 1 111   ']]
20,2,50,1,0.03,"[['11 111    1 1  1 11 ', '11111   1 11   11 1 ']]"
20,2,50,2,0.03,"[['  1    1  1   111111', ' 1   1 1 111  1  1 1', '11  11 111 1     1 1', ' 1  111111 1     111', '  1   11      111111']]"
20,2,50,3,0.03,"[[' 1    1 1  1  111 11', '111   111   11  111 ']]"
20,2,50,4,0.03,[[' 1  1    1   111 1  ']]
20,2,50,0,0.05,[['      11  1111111 1 ']]
20,2,50,1,0.05,[['  1   11 1 1   1    ']]
20,2,50,2,0.05,[['   1 11111 11 1  1  ']]
20,2,50,3,0.05,"[['11    11 11  11  1 1', '     1 11     111111']]"
20,2,50,4,0.05,[['1   1 1 1 111 1 1 1 ']]
20,2,50,0,0.01,"[[' 11 1      1 1111 1 ', ' 11 1        111  1 ']]"
20,2,50,1,0.01,[[' 1 1 1111111  1     ']]
20,2,50,2,0.01,[[' 1111    1 1   11   ']]
20,2,50,3,0.01,"[['1  11  11   1 1   11', '   1   111 1  11 111', ' 1  1  1   1   11111', '    111  1   1 1 1 1', '  1111111   1 1   11']]"
20,2,50,4,0.01,"[['11 1  1  1 11 1  1  ', '  1 11 1   1     1 1']]"
20,2,50,5,0.01,[[' 111  1      1 11 1 ']]
20,2,50,6,0.01,"[[' 11  111  111 1 11  ', '111  11   1 11  1   ']]"
20,2,50,7,0.01,"[['1  1  111 11 1   11 ', '1111  111  1 1 1 1  ']]"
20,2,50,8,0.01,[['1 1 11111  1111   1 ']]
20,2,50,9,0.01,"[['1 11 11  1  1 1 1 11', '1  1   1 1 1111 1  1']]"
20,2,50,0,0.03,[['1     1 1111  1  111']]
20,2,50,1,0.03,"[[' 1111111111 11  11 1', '   1111  11 11  11 1', ' 1 11111 1  111 11 1']]"
20,2,50,2,0.03,[['   1 1   111111  1  ']]
20,2,50,3,0.03,"[['111 11111111  111   ', '11  1 1  11   111 1 ']]"
20,2,50,4,0.03,"[['1 1 1  1 111    1 1 ', ' 1 1 1 111      1   ', '1 1 1  11111 1 1    ', '1 1 1     11 1 1  1 ', '1 1 1     11 1 1111 ']]"
20,2,50,5,0.03,"[['1 1 1   11 1  1 11 1', '    11    11 111   1']]"
20,2,50,6,0.03,"[['11   11 1    1    11', '1 1     11   1  111 ']]"
20,2,50,7,0.03,"[['  1 11 11 1 1 1  111', '1  111 11 1   111111', '  1 11 11   1    111', '1  111  111   1 1111']]"
20,2,50,8,0.03,[['1 1   1  11 11 11111']]
20,2,50,9,0.03,"[[' 11 1111 1111     11', '1   1  1    11 11 11']]"
20,2,50,0,0.05,"[[' 1           11  1 1', '1  1 111 1 1 111  1 ', ' 1     1 1 1      11']]"
20,2,50,1,0.05,[['111  111 11  1    1 ']]
20,2,50,2,0.05,[['11      1 11 1   111']]
20,2,50,3,0.05,[['  1  1111 1  1111  1']]
20,2,50,4,0.05,[[' 111 11       1 1  1']]
20,2,50,5,0.05,"[[' 11 1 11  1 1 1     ', ' 1 11 11    11  1   ', '11  1 111   1  11   ']]"
20,2,50,6,0.05,[['1        1       1 1']]
20,2,50,7,0.05,[['    1 1111  11  1111']]
20,2,50,8,0.05,"[['11 1111 1    1 11 11', '111      11     111 ']]"
